datetime,city,tmax_f,tmin_f,avg_temp_f,respondent,respondent-name,type,type-name,energy_consumption_mw,value-units
2025-05-15,chicago,38.19,34.5,36.34,PJM,"PJM Interconnection, LLC",D,Demand,96268,megawatthours
2025-05-16,chicago,37.6,34.81,36.2,PJM,"PJM Interconnection, LLC",D,Demand,109374,megawatthours
2025-05-17,chicago,35.91,34.2,35.05,PJM,"PJM Interconnection, LLC",D,Demand,103683,megawatthours
2025-05-18,chicago,35.2,33.3,34.25,PJM,"PJM Interconnection, LLC",D,Demand,94162,megawatthours
2025-05-19,chicago,34.3,33.1,33.7,PJM,"PJM Interconnection, LLC",D,Demand,89226,megawatthours
2025-05-20,chicago,34.39,33.6,34.0,PJM,"PJM Interconnection, LLC",D,Demand,93456,megawatthours
2025-05-21,chicago,34.0,33.6,33.8,PJM,"PJM Interconnection, LLC",D,Demand,89163,megawatthours
2025-05-22,chicago,34.5,33.4,33.95,PJM,"PJM Interconnection, LLC",D,Demand,87940,megawatthours
2025-05-23,chicago,35.29,33.01,34.15,PJM,"PJM Interconnection, LLC",D,Demand,86512,megawatthours
2025-05-24,chicago,35.4,33.21,34.3,PJM,"PJM Interconnection, LLC",D,Demand,81868,megawatthours
2025-05-25,chicago,35.4,33.49,34.45,PJM,"PJM Interconnection, LLC",D,Demand,78061,megawatthours
2025-05-26,chicago,35.49,33.4,34.45,PJM,"PJM Interconnection, LLC",D,Demand,77247,megawatthours
2025-05-27,chicago,35.71,34.0,34.86,PJM,"PJM Interconnection, LLC",D,Demand,82202,megawatthours
2025-05-28,chicago,35.1,34.3,34.7,PJM,"PJM Interconnection, LLC",D,Demand,87642,megawatthours
2025-05-29,chicago,35.8,34.11,34.95,PJM,"PJM Interconnection, LLC",D,Demand,87674,megawatthours
2025-05-30,chicago,36.1,34.11,35.11,PJM,"PJM Interconnection, LLC",D,Demand,91119,megawatthours
2025-05-31,chicago,35.2,33.8,34.5,PJM,"PJM Interconnection, LLC",D,Demand,90934,megawatthours
2025-06-01,chicago,35.8,33.4,34.6,PJM,"PJM Interconnection, LLC",D,Demand,80593,megawatthours
2025-06-02,chicago,37.2,33.8,35.5,PJM,"PJM Interconnection, LLC",D,Demand,81792,megawatthours
2025-06-03,chicago,37.71,35.6,36.66,PJM,"PJM Interconnection, LLC",D,Demand,94629,megawatthours
2025-06-04,chicago,35.91,34.3,35.1,PJM,"PJM Interconnection, LLC",D,Demand,106920,megawatthours
2025-06-05,chicago,36.0,34.2,35.1,PJM,"PJM Interconnection, LLC",D,Demand,115211,megawatthours
2025-06-06,chicago,36.5,34.5,35.5,PJM,"PJM Interconnection, LLC",D,Demand,113362,megawatthours
2025-06-07,chicago,36.5,34.2,35.35,PJM,"PJM Interconnection, LLC",D,Demand,108467,megawatthours
2025-06-08,chicago,36.9,34.7,35.8,PJM,"PJM Interconnection, LLC",D,Demand,102872,megawatthours
2025-06-09,chicago,35.91,34.3,35.1,PJM,"PJM Interconnection, LLC",D,Demand,97196,megawatthours
