datetime,respondent,respondent-name,type,type-name,energy_consumption_mw,value-units
2025-08-26 09:00:00,PJM,"PJM Interconnection, LLC",D,Demand,77723,megawatthours
2025-08-26 08:00:00,PJM,"PJM Interconnection, LLC",D,Demand,77153,megawatthours
2025-08-26 07:00:00,PJM,"PJM Interconnection, LLC",D,Demand,78303,megawatthours
2025-08-26 06:00:00,PJM,"PJM Interconnection, LLC",D,Demand,80623,megawatthours
2025-08-26 05:00:00,PJM,"PJM Interconnection, LLC",D,Demand,83658,megawatthours
2025-08-26 04:00:00,PJM,"PJM Interconnection, LLC",D,Demand,87148,megawatthours
2025-08-26 03:00:00,PJM,"PJM Interconnection, LLC",D,Demand,92742,megawatthours
2025-08-26 02:00:00,PJM,"PJM Interconnection, LLC",D,Demand,99551,megawatthours
2025-08-26 01:00:00,PJM,"PJM Interconnection, LLC",D,Demand,104473,megawatthours
2025-08-26 00:00:00,PJM,"PJM Interconnection, LLC",D,Demand,107478,megawatthours
2025-08-25 23:00:00,PJM,"PJM Interconnection, LLC",D,Demand,111135,megawatthours
2025-08-25 22:00:00,PJM,"PJM Interconnection, LLC",D,Demand,112363,megawatthours
2025-08-25 21:00:00,PJM,"PJM Interconnection, LLC",D,Demand,111565,megawatthours
2025-08-25 20:00:00,PJM,"PJM Interconnection, LLC",D,Demand,109922,megawatthours
2025-08-25 19:00:00,PJM,"PJM Interconnection, LLC",D,Demand,108469,megawatthours
2025-08-25 18:00:00,PJM,"PJM Interconnection, LLC",D,Demand,106518,megawatthours
2025-08-25 17:00:00,PJM,"PJM Interconnection, LLC",D,Demand,104006,megawatthours
2025-08-25 16:00:00,PJM,"PJM Interconnection, LLC",D,Demand,101260,megawatthours
2025-08-25 15:00:00,PJM,"PJM Interconnection, LLC",D,Demand,98411,megawatthours
2025-08-25 14:00:00,PJM,"PJM Interconnection, LLC",D,Demand,96222,megawatthours
2025-08-25 13:00:00,PJM,"PJM Interconnection, LLC",D,Demand,93885,megawatthours
2025-08-25 12:00:00,PJM,"PJM Interconnection, LLC",D,Demand,90541,megawatthours
2025-08-25 11:00:00,PJM,"PJM Interconnection, LLC",D,Demand,87168,megawatthours
2025-08-25 10:00:00,PJM,"PJM Interconnection, LLC",D,Demand,82617,megawatthours
2025-08-25 09:00:00,PJM,"PJM Interconnection, LLC",D,Demand,79619,megawatthours
2025-08-25 08:00:00,PJM,"PJM Interconnection, LLC",D,Demand,79022,megawatthours
2025-08-25 07:00:00,PJM,"PJM Interconnection, LLC",D,Demand,80236,megawatthours
