datetime,city,tmax_f,tmin_f,avg_temp_f
2025-05-25,chicago,35.4,33.49,34.45
2025-05-26,chicago,35.49,33.4,34.45
2025-05-27,chicago,35.71,34.0,34.86
2025-05-28,chicago,35.1,34.3,34.7
2025-05-29,chicago,35.8,34.11,34.95
2025-05-30,chicago,36.1,34.11,35.11
2025-05-31,chicago,35.2,33.8,34.5
2025-06-01,chicago,35.8,33.4,34.6
2025-06-02,chicago,37.2,33.8,35.5
2025-06-03,chicago,37.71,35.6,36.66
2025-06-04,chicago,35.91,34.3,35.1
2025-06-05,chicago,36.0,34.2,35.1
2025-06-06,chicago,36.5,34.5,35.5
2025-06-07,chicago,36.5,34.2,35.35
2025-06-08,chicago,36.9,34.7,35.8
2025-06-09,chicago,35.91,34.3,35.1
2025-06-10,chicago,36.61,34.3,35.45
2025-06-11,chicago,37.99,35.2,36.59
2025-06-12,chicago,36.7,35.01,35.86
2025-06-13,chicago,35.91,34.7,35.3
2025-06-14,chicago,36.39,34.59,35.49
2025-06-15,chicago,37.0,34.5,35.75
2025-06-16,chicago,37.6,34.9,36.25
2025-06-17,chicago,37.99,35.91,36.95
2025-06-18,chicago,36.9,35.4,36.15
2025-06-19,chicago,37.29,35.29,36.29
2025-06-20,chicago,37.4,35.71,36.55
2025-06-21,chicago,38.19,36.61,37.4
2025-06-22,chicago,38.19,36.81,37.5
2025-06-23,chicago,38.3,36.7,37.5
2025-06-24,chicago,38.19,36.19,37.19
2025-06-25,chicago,37.71,35.91,36.81
2025-06-26,chicago,38.19,36.5,37.34
2025-06-27,chicago,37.51,36.0,36.75
2025-06-28,chicago,37.8,35.6,36.7
2025-06-29,chicago,38.19,36.1,37.14
2025-06-30,chicago,37.8,36.19,36.99
2025-07-01,chicago,37.51,35.8,36.66
2025-07-02,chicago,37.9,35.91,36.91
2025-07-03,chicago,38.3,36.0,37.15
2025-07-04,chicago,37.99,36.19,37.09
2025-07-05,chicago,38.19,36.39,37.29
2025-07-06,chicago,37.29,35.4,36.34
2025-07-07,chicago,37.09,35.29,36.19
2025-07-08,chicago,37.2,35.71,36.45
2025-07-09,chicago,37.29,35.71,36.5
2025-07-10,chicago,37.29,35.49,36.39
2025-07-11,chicago,37.8,35.8,36.8
2025-07-12,chicago,37.2,35.71,36.45
2025-07-13,chicago,36.9,35.49,36.2
2025-07-14,chicago,37.51,35.4,36.45
2025-07-15,chicago,37.9,35.8,36.85
2025-07-16,chicago,37.8,35.8,36.8
2025-07-17,chicago,36.0,34.59,35.3
2025-07-18,chicago,36.81,34.59,35.7
2025-07-19,chicago,37.09,36.1,36.59
2025-07-20,chicago,36.3,35.4,35.85
2025-07-21,chicago,37.0,35.1,36.05
2025-07-22,chicago,37.4,35.71,36.55
2025-07-23,chicago,38.19,36.0,37.09
2025-07-24,chicago,37.99,36.19,37.09
2025-07-25,chicago,37.09,36.1,36.59
2025-07-26,chicago,37.09,36.1,36.59
2025-07-27,chicago,37.6,36.1,36.85
2025-07-28,chicago,37.99,36.3,37.14
2025-07-29,chicago,38.1,35.8,36.95
2025-07-30,chicago,36.81,35.6,36.2
2025-07-31,chicago,36.39,35.2,35.8
2025-08-01,chicago,36.3,34.9,35.6
2025-08-02,chicago,36.61,34.7,35.66
2025-08-03,chicago,36.7,34.9,35.8
2025-08-04,chicago,36.9,35.1,36.0
2025-08-05,chicago,37.09,35.29,36.19
2025-08-06,chicago,37.51,35.29,36.4
2025-08-07,chicago,37.9,36.1,37.0
2025-08-08,chicago,37.99,36.19,37.09
2025-08-09,chicago,38.3,36.39,37.34
2025-08-10,chicago,37.71,36.5,37.11
2025-08-11,chicago,37.71,36.0,36.86
2025-08-12,chicago,37.29,36.0,36.64
2025-08-13,chicago,37.4,35.71,36.55
2025-08-14,chicago,37.2,35.4,36.3
2025-08-15,chicago,37.9,35.71,36.8
2025-08-16,chicago,38.3,36.1,37.2
2025-08-17,chicago,36.9,35.71,36.3
2025-08-18,chicago,37.51,35.91,36.71
2025-08-19,chicago,36.61,35.71,36.16
2025-08-20,chicago,36.39,35.4,35.89
