datetime,respondent,respondent-name,type,type-name,energy_consumption_mw,value-units
2025-08-26 09:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,54428,megawatthours
2025-08-26 08:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,55786,megawatthours
2025-08-26 07:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,57831,megawatthours
2025-08-26 06:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,60435,megawatthours
2025-08-26 05:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,64041,megawatthours
2025-08-26 04:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,68386,megawatthours
2025-08-26 03:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,72753,megawatthours
2025-08-26 02:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,75419,megawatthours
2025-08-26 01:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,77969,megawatthours
2025-08-26 00:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,81126,megawatthours
2025-08-25 23:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,82733,megawatthours
2025-08-25 22:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,82997,megawatthours
2025-08-25 21:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,82684,megawatthours
2025-08-25 20:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,81034,megawatthours
2025-08-25 19:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,78340,megawatthours
2025-08-25 18:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,74842,megawatthours
2025-08-25 17:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,71406,megawatthours
2025-08-25 16:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,69337,megawatthours
2025-08-25 15:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,66513,megawatthours
2025-08-25 14:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,60966,megawatthours
2025-08-25 13:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,56932,megawatthours
2025-08-25 12:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,55713,megawatthours
2025-08-25 11:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,54381,megawatthours
2025-08-25 10:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,53413,megawatthours
2025-08-25 09:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,53525,megawatthours
2025-08-25 08:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,54259,megawatthours
2025-08-25 07:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,56494,megawatthours
2025-08-25 06:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,59479,megawatthours
2025-08-25 05:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,62741,megawatthours
2025-08-25 04:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,67007,megawatthours
2025-08-25 03:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,70624,megawatthours
2025-08-25 02:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,74042,megawatthours
2025-08-25 01:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,76049,megawatthours
2025-08-25 00:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,80223,megawatthours
2025-08-24 23:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,81744,megawatthours
2025-08-24 22:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,81554,megawatthours
2025-08-24 21:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,80311,megawatthours
2025-08-24 20:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,78302,megawatthours
2025-08-24 19:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,75636,megawatthours
2025-08-24 18:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,71953,megawatthours
2025-08-24 17:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,67473,megawatthours
2025-08-24 16:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,62126,megawatthours
2025-08-24 15:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,57424,megawatthours
2025-08-24 14:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,53025,megawatthours
2025-08-24 13:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49402,megawatthours
2025-08-24 12:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49752,megawatthours
2025-08-24 11:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49909,megawatthours
2025-08-24 10:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50477,megawatthours
2025-08-24 09:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51425,megawatthours
2025-08-24 08:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,52820,megawatthours
2025-08-24 07:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,54571,megawatthours
2025-08-24 06:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,56956,megawatthours
2025-08-24 05:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,60154,megawatthours
2025-08-24 04:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,63675,megawatthours
2025-08-24 03:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,66642,megawatthours
2025-08-24 02:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,69268,megawatthours
2025-08-24 01:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,72702,megawatthours
2025-08-24 00:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,75614,megawatthours
2025-08-23 23:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,77013,megawatthours
2025-08-23 22:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,77553,megawatthours
2025-08-23 21:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,76822,megawatthours
2025-08-23 20:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,75460,megawatthours
2025-08-23 19:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,73718,megawatthours
2025-08-23 18:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,71114,megawatthours
2025-08-23 17:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,67552,megawatthours
2025-08-23 16:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,62785,megawatthours
2025-08-23 15:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,58419,megawatthours
2025-08-23 14:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,54223,megawatthours
2025-08-23 13:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50719,megawatthours
2025-08-23 12:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50376,megawatthours
2025-08-23 11:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50091,megawatthours
2025-08-23 10:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50277,megawatthours
2025-08-23 09:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51026,megawatthours
2025-08-23 08:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,52253,megawatthours
2025-08-23 07:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,54003,megawatthours
2025-08-23 06:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,56691,megawatthours
2025-08-23 05:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,60121,megawatthours
2025-08-23 04:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,63634,megawatthours
2025-08-23 03:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,67046,megawatthours
2025-08-23 02:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,69603,megawatthours
2025-08-23 01:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,72236,megawatthours
2025-08-23 00:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,75153,megawatthours
2025-08-22 23:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,77153,megawatthours
2025-08-22 22:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,77258,megawatthours
2025-08-22 21:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,76176,megawatthours
2025-08-22 20:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,74748,megawatthours
2025-08-22 19:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,72672,megawatthours
2025-08-22 18:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,69730,megawatthours
