datetime,city,tmax_f,tmin_f,avg_temp_f
2025-05-27,houston,37.9,35.6,36.75
2025-05-28,houston,37.0,36.0,36.5
2025-05-29,houston,38.19,35.91,37.05
2025-05-30,houston,37.71,36.3,37.0
2025-05-31,houston,37.8,36.3,37.05
2025-06-01,houston,38.1,36.0,37.05
2025-06-02,houston,38.1,36.3,37.2
2025-06-03,houston,37.8,36.19,36.99
2025-06-04,houston,37.99,36.7,37.34
2025-06-05,houston,38.19,36.39,37.29
2025-06-06,houston,38.3,36.81,37.55
2025-06-07,houston,38.5,36.7,37.6
2025-06-08,houston,38.61,36.7,37.66
2025-06-09,houston,38.19,36.0,37.09
2025-06-10,houston,38.1,36.5,37.3
2025-06-11,houston,37.09,36.19,36.64
2025-06-12,houston,36.9,35.91,36.41
2025-06-13,houston,37.99,36.1,37.05
2025-06-14,houston,38.1,36.5,37.3
2025-06-15,houston,38.19,36.1,37.14
2025-06-16,houston,37.99,36.19,37.09
2025-06-17,houston,38.3,36.5,37.4
2025-06-18,houston,38.3,36.7,37.5
2025-06-19,houston,38.3,36.7,37.5
2025-06-20,houston,38.41,36.7,37.55
2025-06-21,houston,38.41,36.9,37.66
2025-06-22,houston,38.19,36.61,37.4
2025-06-23,houston,38.19,36.61,37.4
2025-06-24,houston,38.41,36.5,37.45
2025-06-25,houston,37.71,36.39,37.05
2025-06-26,houston,38.3,36.39,37.34
2025-06-27,houston,38.19,36.3,37.24
2025-06-28,houston,38.3,36.3,37.3
2025-06-29,houston,38.1,36.39,37.25
2025-06-30,houston,38.19,36.19,37.19
2025-07-01,houston,38.5,36.3,37.4
2025-07-02,houston,38.41,36.5,37.45
2025-07-03,houston,38.19,36.3,37.24
2025-07-04,houston,37.9,36.3,37.1
2025-07-05,houston,38.19,36.61,37.4
2025-07-06,houston,38.41,36.39,37.4
2025-07-07,houston,38.3,36.61,37.45
2025-07-08,houston,37.9,36.1,37.0
2025-07-09,houston,37.9,36.1,37.0
2025-07-10,houston,38.3,36.61,37.45
2025-07-11,houston,38.1,36.7,37.4
2025-07-12,houston,38.3,36.7,37.5
2025-07-13,houston,38.3,36.39,37.34
2025-07-14,houston,37.99,36.19,37.09
2025-07-15,houston,38.3,36.39,37.34
2025-07-16,houston,38.5,36.7,37.6
2025-07-17,houston,37.99,36.3,37.14
2025-07-18,houston,38.19,36.7,37.45
2025-07-19,houston,38.41,36.61,37.51
2025-07-20,houston,38.5,36.7,37.6
2025-07-21,houston,38.61,36.81,37.71
2025-07-22,houston,38.8,36.5,37.65
2025-07-23,houston,38.7,36.39,37.55
2025-07-24,houston,38.7,36.81,37.76
2025-07-25,houston,37.99,36.61,37.3
2025-07-26,houston,37.99,36.5,37.25
2025-07-27,houston,38.3,36.5,37.4
2025-07-28,houston,38.61,36.61,37.61
2025-07-29,houston,38.7,36.81,37.76
2025-07-30,houston,38.89,36.81,37.85
2025-07-31,houston,38.3,37.09,37.7
2025-08-01,houston,38.5,37.0,37.75
2025-08-02,houston,37.99,36.61,37.3
2025-08-03,houston,38.61,36.61,37.61
2025-08-04,houston,37.9,36.39,37.14
2025-08-05,houston,38.41,36.5,37.45
2025-08-06,houston,38.8,36.5,37.65
2025-08-07,houston,38.8,36.61,37.7
2025-08-08,houston,38.8,36.7,37.75
2025-08-09,houston,38.61,36.61,37.61
2025-08-10,houston,38.19,36.5,37.34
2025-08-11,houston,38.5,36.61,37.55
2025-08-12,houston,38.5,36.7,37.6
2025-08-13,houston,38.7,36.61,37.66
2025-08-14,houston,38.7,36.81,37.76
2025-08-15,houston,38.3,36.7,37.5
2025-08-16,houston,38.3,36.61,37.45
2025-08-17,houston,38.89,36.5,37.7
2025-08-18,houston,38.89,36.7,37.8
2025-08-19,houston,38.3,36.5,37.4
2025-08-20,houston,38.89,36.5,37.7
2025-08-21,houston,38.41,36.7,37.55
2025-08-22,houston,37.71,36.3,37.0
