datetime,respondent,respondent-name,type,type-name,energy_consumption_mw,value-units
2025-08-13 18:00:00,NYIS,New York Independent System Operator,D,Demand,26133,megawatthours
2025-08-13 17:00:00,NYIS,New York Independent System Operator,D,Demand,25461,megawatthours
2025-08-13 16:00:00,NYIS,New York Independent System Operator,D,Demand,24826,megawatthours
2025-08-13 15:00:00,NYIS,New York Independent System Operator,D,Demand,23919,megawatthours
2025-08-13 14:00:00,NYIS,New York Independent System Operator,D,Demand,23019,megawatthours
2025-08-13 13:00:00,NYIS,New York Independent System Operator,D,Demand,22184,megawatthours
2025-08-13 12:00:00,NYIS,New York Independent System Operator,D,Demand,21231,megawatthours
2025-08-13 11:00:00,NYIS,New York Independent System Operator,D,Demand,20152,megawatthours
2025-08-13 10:00:00,NYIS,New York Independent System Operator,D,Demand,19235,megawatthours
2025-08-13 09:00:00,NYIS,New York Independent System Operator,D,Demand,18798,megawatthours
2025-08-13 08:00:00,NYIS,New York Independent System Operator,D,Demand,18922,megawatthours
2025-08-13 07:00:00,NYIS,New York Independent System Operator,D,Demand,19414,megawatthours
2025-08-13 06:00:00,NYIS,New York Independent System Operator,D,Demand,20151,megawatthours
2025-08-13 05:00:00,NYIS,New York Independent System Operator,D,Demand,21186,megawatthours
2025-08-13 04:00:00,NYIS,New York Independent System Operator,D,Demand,22505,megawatthours
2025-08-13 03:00:00,NYIS,New York Independent System Operator,D,Demand,23993,megawatthours
2025-08-13 02:00:00,NYIS,New York Independent System Operator,D,Demand,25600,megawatthours
2025-08-13 01:00:00,NYIS,New York Independent System Operator,D,Demand,26718,megawatthours
2025-08-13 00:00:00,NYIS,New York Independent System Operator,D,Demand,27403,megawatthours
2025-08-12 23:00:00,NYIS,New York Independent System Operator,D,Demand,27720,megawatthours
2025-08-12 22:00:00,NYIS,New York Independent System Operator,D,Demand,27668,megawatthours
2025-08-12 21:00:00,NYIS,New York Independent System Operator,D,Demand,27001,megawatthours
2025-08-12 20:00:00,NYIS,New York Independent System Operator,D,Demand,26420,megawatthours
2025-08-12 19:00:00,NYIS,New York Independent System Operator,D,Demand,25654,megawatthours
2025-08-12 18:00:00,NYIS,New York Independent System Operator,D,Demand,24923,megawatthours
2025-08-12 17:00:00,NYIS,New York Independent System Operator,D,Demand,23977,megawatthours
2025-08-12 16:00:00,NYIS,New York Independent System Operator,D,Demand,22945,megawatthours
2025-08-12 15:00:00,NYIS,New York Independent System Operator,D,Demand,21870,megawatthours
2025-08-12 14:00:00,NYIS,New York Independent System Operator,D,Demand,20834,megawatthours
2025-08-12 13:00:00,NYIS,New York Independent System Operator,D,Demand,20102,megawatthours
2025-08-12 12:00:00,NYIS,New York Independent System Operator,D,Demand,19484,megawatthours
2025-08-12 11:00:00,NYIS,New York Independent System Operator,D,Demand,18539,megawatthours
2025-08-12 10:00:00,NYIS,New York Independent System Operator,D,Demand,17661,megawatthours
2025-08-12 09:00:00,NYIS,New York Independent System Operator,D,Demand,17216,megawatthours
2025-08-12 08:00:00,NYIS,New York Independent System Operator,D,Demand,17301,megawatthours
2025-08-12 07:00:00,NYIS,New York Independent System Operator,D,Demand,17746,megawatthours
2025-08-12 06:00:00,NYIS,New York Independent System Operator,D,Demand,18466,megawatthours
