datetime,city,tmax_f,tmin_f,avg_temp_f
2025-05-14,new_york,35.01,34.39,34.7
2025-05-15,new_york,35.71,34.7,35.2
2025-05-16,new_york,36.0,34.9,35.45
2025-05-17,new_york,37.0,35.1,36.05
2025-05-18,new_york,36.1,34.9,35.5
2025-05-19,new_york,35.71,33.91,34.81
2025-05-20,new_york,35.49,33.69,34.59
2025-05-21,new_york,34.7,33.69,34.2
2025-05-22,new_york,33.91,33.6,33.75
2025-05-23,new_york,35.1,33.49,34.3
2025-05-24,new_york,35.2,33.6,34.4
2025-05-25,new_york,35.4,34.0,34.7
2025-05-26,new_york,36.1,34.0,35.05
2025-05-27,new_york,36.19,34.5,35.34
2025-05-28,new_york,35.29,34.0,34.64
2025-05-29,new_york,35.49,34.3,34.89
2025-05-30,new_york,36.3,35.01,35.66
2025-05-31,new_york,35.49,34.11,34.8
2025-06-01,new_york,35.4,33.8,34.6
2025-06-02,new_york,35.91,34.11,35.01
2025-06-03,new_york,36.7,34.39,35.55
2025-06-04,new_york,37.09,35.01,36.05
2025-06-05,new_york,37.51,35.8,36.66
2025-06-06,new_york,37.2,35.91,36.55
2025-06-07,new_york,36.39,35.4,35.89
2025-06-08,new_york,36.39,35.1,35.75
2025-06-09,new_york,35.2,35.01,35.11
2025-06-10,new_york,36.1,35.01,35.55
2025-06-11,new_york,36.9,35.29,36.09
2025-06-12,new_york,37.51,35.8,36.66
2025-06-13,new_york,36.61,35.49,36.05
2025-06-14,new_york,35.6,34.7,35.15
2025-06-15,new_york,35.2,34.7,34.95
2025-06-16,new_york,35.71,34.81,35.26
2025-06-17,new_york,35.49,35.01,35.25
2025-06-18,new_york,37.2,35.29,36.25
2025-06-19,new_york,37.6,35.8,36.7
2025-06-20,new_york,37.0,35.49,36.25
2025-06-21,new_york,37.4,36.0,36.7
2025-06-22,new_york,37.6,35.91,36.75
2025-06-23,new_york,38.41,36.81,37.61
2025-06-24,new_york,38.7,36.9,37.8
2025-06-25,new_york,38.41,36.9,37.66
2025-06-26,new_york,37.29,35.4,36.34
2025-06-27,new_york,36.0,35.01,35.5
2025-06-28,new_york,37.09,35.1,36.09
2025-06-29,new_york,37.71,36.5,37.11
2025-06-30,new_york,37.8,35.91,36.85
2025-07-01,new_york,37.71,36.0,36.86
2025-07-02,new_york,37.2,35.91,36.55
2025-07-03,new_york,37.6,35.71,36.66
2025-07-04,new_york,37.09,35.49,36.29
2025-07-05,new_york,37.2,35.6,36.4
2025-07-06,new_york,37.51,36.0,36.75
2025-07-07,new_york,37.51,36.39,36.95
2025-07-08,new_york,38.1,36.1,37.1
2025-07-09,new_york,37.8,36.1,36.95
2025-07-10,new_york,37.2,35.8,36.5
2025-07-11,new_york,37.2,36.1,36.65
2025-07-12,new_york,37.09,36.19,36.64
2025-07-13,new_york,37.09,35.91,36.5
2025-07-14,new_york,37.29,36.1,36.7
2025-07-15,new_york,37.4,36.0,36.7
2025-07-16,new_york,37.51,36.5,37.0
2025-07-17,new_york,37.8,36.3,37.05
2025-07-18,new_york,37.0,36.1,36.55
2025-07-19,new_york,36.9,35.71,36.3
2025-07-20,new_york,37.6,36.3,36.95
2025-07-21,new_york,37.29,35.91,36.6
2025-07-22,new_york,36.9,35.49,36.2
2025-07-23,new_york,36.81,35.71,36.26
2025-07-24,new_york,37.51,35.8,36.66
2025-07-25,new_york,38.3,36.39,37.34
2025-07-26,new_york,37.29,36.19,36.74
2025-07-27,new_york,37.2,36.1,36.65
2025-07-28,new_york,38.19,36.39,37.29
2025-07-29,new_york,38.5,36.61,37.55
2025-07-30,new_york,38.3,36.3,37.3
2025-07-31,new_york,37.71,35.29,36.5
2025-08-01,new_york,36.1,35.1,35.6
2025-08-02,new_york,36.81,35.1,35.95
2025-08-03,new_york,37.2,35.2,36.2
2025-08-04,new_york,37.71,35.49,36.6
2025-08-05,new_york,37.4,35.91,36.66
2025-08-06,new_york,36.7,35.2,35.95
2025-08-07,new_york,36.9,35.2,36.05
2025-08-08,new_york,37.0,35.1,36.05
2025-08-09,new_york,37.29,35.2,36.25
