datetime,respondent,respondent-name,type,type-name,energy_consumption_mw,value-units
2025-08-12 16:00:00,AZPS,Arizona Public Service Company,D,Demand,7099,megawatthours
2025-08-12 15:00:00,AZPS,Arizona Public Service Company,D,Demand,6097,megawatthours
2025-08-12 14:00:00,AZPS,Arizona Public Service Company,D,Demand,5407,megawatthours
2025-08-12 13:00:00,AZPS,Arizona Public Service Company,D,Demand,5457,megawatthours
2025-08-12 12:00:00,AZPS,Arizona Public Service Company,D,Demand,5479,megawatthours
2025-08-12 11:00:00,AZPS,Arizona Public Service Company,D,Demand,5567,megawatthours
2025-08-12 10:00:00,AZPS,Arizona Public Service Company,D,Demand,5646,megawatthours
2025-08-12 09:00:00,AZPS,Arizona Public Service Company,D,Demand,5885,megawatthours
2025-08-12 08:00:00,AZPS,Arizona Public Service Company,D,Demand,6192,megawatthours
2025-08-12 07:00:00,AZPS,Arizona Public Service Company,D,Demand,6681,megawatthours
2025-08-12 06:00:00,AZPS,Arizona Public Service Company,D,Demand,7068,megawatthours
2025-08-12 05:00:00,AZPS,Arizona Public Service Company,D,Demand,7138,megawatthours
2025-08-12 04:00:00,AZPS,Arizona Public Service Company,D,Demand,7467,megawatthours
2025-08-12 03:00:00,AZPS,Arizona Public Service Company,D,Demand,7743,megawatthours
2025-08-12 02:00:00,AZPS,Arizona Public Service Company,D,Demand,7645,megawatthours
2025-08-12 01:00:00,AZPS,Arizona Public Service Company,D,Demand,7963,megawatthours
2025-08-12 00:00:00,AZPS,Arizona Public Service Company,D,Demand,7756,megawatthours
2025-08-11 23:00:00,AZPS,Arizona Public Service Company,D,Demand,7685,megawatthours
2025-08-11 22:00:00,AZPS,Arizona Public Service Company,D,Demand,7287,megawatthours
2025-08-11 21:00:00,AZPS,Arizona Public Service Company,D,Demand,7078,megawatthours
2025-08-11 20:00:00,AZPS,Arizona Public Service Company,D,Demand,6630,megawatthours
2025-08-11 19:00:00,AZPS,Arizona Public Service Company,D,Demand,6330,megawatthours
2025-08-11 18:00:00,AZPS,Arizona Public Service Company,D,Demand,6075,megawatthours
2025-08-11 17:00:00,AZPS,Arizona Public Service Company,D,Demand,5780,megawatthours
2025-08-11 16:00:00,AZPS,Arizona Public Service Company,D,Demand,5458,megawatthours
2025-08-11 15:00:00,AZPS,Arizona Public Service Company,D,Demand,5564,megawatthours
2025-08-11 14:00:00,AZPS,Arizona Public Service Company,D,Demand,5598,megawatthours
2025-08-11 13:00:00,AZPS,Arizona Public Service Company,D,Demand,5590,megawatthours
2025-08-11 12:00:00,AZPS,Arizona Public Service Company,D,Demand,5593,megawatthours
2025-08-11 11:00:00,AZPS,Arizona Public Service Company,D,Demand,5579,megawatthours
2025-08-11 10:00:00,AZPS,Arizona Public Service Company,D,Demand,5711,megawatthours
2025-08-11 09:00:00,AZPS,Arizona Public Service Company,D,Demand,5854,megawatthours
2025-08-11 08:00:00,AZPS,Arizona Public Service Company,D,Demand,6008,megawatthours
2025-08-11 07:00:00,AZPS,Arizona Public Service Company,D,Demand,6324,megawatthours
2025-08-11 06:00:00,AZPS,Arizona Public Service Company,D,Demand,6689,megawatthours
2025-08-11 05:00:00,AZPS,Arizona Public Service Company,D,Demand,6703,megawatthours
2025-08-11 04:00:00,AZPS,Arizona Public Service Company,D,Demand,6983,megawatthours
2025-08-11 03:00:00,AZPS,Arizona Public Service Company,D,Demand,7392,megawatthours
2025-08-11 02:00:00,AZPS,Arizona Public Service Company,D,Demand,7572,megawatthours
2025-08-11 01:00:00,AZPS,Arizona Public Service Company,D,Demand,7916,megawatthours
2025-08-11 00:00:00,AZPS,Arizona Public Service Company,D,Demand,7748,megawatthours
2025-08-10 23:00:00,AZPS,Arizona Public Service Company,D,Demand,7429,megawatthours
2025-08-10 22:00:00,AZPS,Arizona Public Service Company,D,Demand,7166,megawatthours
2025-08-10 21:00:00,AZPS,Arizona Public Service Company,D,Demand,6793,megawatthours
2025-08-10 20:00:00,AZPS,Arizona Public Service Company,D,Demand,6564,megawatthours
2025-08-10 19:00:00,AZPS,Arizona Public Service Company,D,Demand,6104,megawatthours
2025-08-10 18:00:00,AZPS,Arizona Public Service Company,D,Demand,5795,megawatthours
2025-08-10 17:00:00,AZPS,Arizona Public Service Company,D,Demand,5502,megawatthours
2025-08-10 16:00:00,AZPS,Arizona Public Service Company,D,Demand,5271,megawatthours
2025-08-10 15:00:00,AZPS,Arizona Public Service Company,D,Demand,5115,megawatthours
2025-08-10 14:00:00,AZPS,Arizona Public Service Company,D,Demand,5256,megawatthours
2025-08-10 13:00:00,AZPS,Arizona Public Service Company,D,Demand,5444,megawatthours
2025-08-10 12:00:00,AZPS,Arizona Public Service Company,D,Demand,5595,megawatthours
2025-08-10 11:00:00,AZPS,Arizona Public Service Company,D,Demand,5748,megawatthours
2025-08-10 10:00:00,AZPS,Arizona Public Service Company,D,Demand,5961,megawatthours
2025-08-10 09:00:00,AZPS,Arizona Public Service Company,D,Demand,6169,megawatthours
2025-08-10 08:00:00,AZPS,Arizona Public Service Company,D,Demand,6421,megawatthours
2025-08-10 07:00:00,AZPS,Arizona Public Service Company,D,Demand,6782,megawatthours
2025-08-10 06:00:00,AZPS,Arizona Public Service Company,D,Demand,7071,megawatthours
2025-08-10 05:00:00,AZPS,Arizona Public Service Company,D,Demand,7037,megawatthours
2025-08-10 04:00:00,AZPS,Arizona Public Service Company,D,Demand,7439,megawatthours
2025-08-10 03:00:00,AZPS,Arizona Public Service Company,D,Demand,7732,megawatthours
2025-08-10 02:00:00,AZPS,Arizona Public Service Company,D,Demand,7947,megawatthours
2025-08-10 01:00:00,AZPS,Arizona Public Service Company,D,Demand,8136,megawatthours
2025-08-10 00:00:00,AZPS,Arizona Public Service Company,D,Demand,4491,megawatthours
2025-08-09 23:00:00,AZPS,Arizona Public Service Company,D,Demand,7448,megawatthours
2025-08-09 22:00:00,AZPS,Arizona Public Service Company,D,Demand,7221,megawatthours
2025-08-09 21:00:00,AZPS,Arizona Public Service Company,D,Demand,7326,megawatthours
2025-08-09 20:00:00,AZPS,Arizona Public Service Company,D,Demand,7478,megawatthours
2025-08-09 19:00:00,AZPS,Arizona Public Service Company,D,Demand,7733,megawatthours
2025-08-09 18:00:00,AZPS,Arizona Public Service Company,D,Demand,7978,megawatthours
2025-08-09 17:00:00,AZPS,Arizona Public Service Company,D,Demand,7605,megawatthours
2025-08-09 16:00:00,AZPS,Arizona Public Service Company,D,Demand,7013,megawatthours
2025-08-09 15:00:00,AZPS,Arizona Public Service Company,D,Demand,5687,megawatthours
2025-08-09 14:00:00,AZPS,Arizona Public Service Company,D,Demand,5585,megawatthours
2025-08-09 13:00:00,AZPS,Arizona Public Service Company,D,Demand,5722,megawatthours
2025-08-09 12:00:00,AZPS,Arizona Public Service Company,D,Demand,5761,megawatthours
2025-08-09 11:00:00,AZPS,Arizona Public Service Company,D,Demand,5887,megawatthours
2025-08-09 10:00:00,AZPS,Arizona Public Service Company,D,Demand,6070,megawatthours
2025-08-09 09:00:00,AZPS,Arizona Public Service Company,D,Demand,6328,megawatthours
2025-08-09 08:00:00,AZPS,Arizona Public Service Company,D,Demand,6548,megawatthours
2025-08-09 07:00:00,AZPS,Arizona Public Service Company,D,Demand,6900,megawatthours
2025-08-09 06:00:00,AZPS,Arizona Public Service Company,D,Demand,7226,megawatthours
2025-08-09 05:00:00,AZPS,Arizona Public Service Company,D,Demand,7198,megawatthours
2025-08-09 04:00:00,AZPS,Arizona Public Service Company,D,Demand,7556,megawatthours
2025-08-09 03:00:00,AZPS,Arizona Public Service Company,D,Demand,7986,megawatthours
2025-08-09 02:00:00,AZPS,Arizona Public Service Company,D,Demand,8060,megawatthours
2025-08-09 01:00:00,AZPS,Arizona Public Service Company,D,Demand,8223,megawatthours
2025-08-09 00:00:00,AZPS,Arizona Public Service Company,D,Demand,7986,megawatthours
2025-08-08 23:00:00,AZPS,Arizona Public Service Company,D,Demand,7861,megawatthours
2025-08-08 22:00:00,AZPS,Arizona Public Service Company,D,Demand,7540,megawatthours
2025-08-08 21:00:00,AZPS,Arizona Public Service Company,D,Demand,7277,megawatthours
2025-08-08 20:00:00,AZPS,Arizona Public Service Company,D,Demand,6898,megawatthours
2025-08-08 19:00:00,AZPS,Arizona Public Service Company,D,Demand,6559,megawatthours
2025-08-08 18:00:00,AZPS,Arizona Public Service Company,D,Demand,6370,megawatthours
2025-08-08 17:00:00,AZPS,Arizona Public Service Company,D,Demand,5957,megawatthours
2025-08-08 16:00:00,AZPS,Arizona Public Service Company,D,Demand,5681,megawatthours
2025-08-08 15:00:00,AZPS,Arizona Public Service Company,D,Demand,5590,megawatthours
2025-08-08 14:00:00,AZPS,Arizona Public Service Company,D,Demand,5614,megawatthours
2025-08-08 13:00:00,AZPS,Arizona Public Service Company,D,Demand,5658,megawatthours
2025-08-08 12:00:00,AZPS,Arizona Public Service Company,D,Demand,5637,megawatthours
2025-08-08 11:00:00,AZPS,Arizona Public Service Company,D,Demand,5714,megawatthours
2025-08-08 10:00:00,AZPS,Arizona Public Service Company,D,Demand,5915,megawatthours
2025-08-08 09:00:00,AZPS,Arizona Public Service Company,D,Demand,6147,megawatthours
2025-08-08 08:00:00,AZPS,Arizona Public Service Company,D,Demand,6453,megawatthours
2025-08-08 07:00:00,AZPS,Arizona Public Service Company,D,Demand,6994,megawatthours
2025-08-08 06:00:00,AZPS,Arizona Public Service Company,D,Demand,7581,megawatthours
2025-08-08 05:00:00,AZPS,Arizona Public Service Company,D,Demand,7636,megawatthours
2025-08-08 04:00:00,AZPS,Arizona Public Service Company,D,Demand,7847,megawatthours
2025-08-08 03:00:00,AZPS,Arizona Public Service Company,D,Demand,8232,megawatthours
2025-08-08 02:00:00,AZPS,Arizona Public Service Company,D,Demand,8224,megawatthours
2025-08-08 01:00:00,AZPS,Arizona Public Service Company,D,Demand,8499,megawatthours
2025-08-08 00:00:00,AZPS,Arizona Public Service Company,D,Demand,8387,megawatthours
2025-08-07 23:00:00,AZPS,Arizona Public Service Company,D,Demand,8229,megawatthours
2025-08-07 22:00:00,AZPS,Arizona Public Service Company,D,Demand,7946,megawatthours
2025-08-07 21:00:00,AZPS,Arizona Public Service Company,D,Demand,7698,megawatthours
2025-08-07 20:00:00,AZPS,Arizona Public Service Company,D,Demand,7149,megawatthours
2025-08-07 19:00:00,AZPS,Arizona Public Service Company,D,Demand,6778,megawatthours
2025-08-07 18:00:00,AZPS,Arizona Public Service Company,D,Demand,6332,megawatthours
2025-08-07 17:00:00,AZPS,Arizona Public Service Company,D,Demand,6007,megawatthours
2025-08-07 16:00:00,AZPS,Arizona Public Service Company,D,Demand,5602,megawatthours
2025-08-07 15:00:00,AZPS,Arizona Public Service Company,D,Demand,5401,megawatthours
2025-08-07 14:00:00,AZPS,Arizona Public Service Company,D,Demand,5665,megawatthours
2025-08-07 13:00:00,AZPS,Arizona Public Service Company,D,Demand,5625,megawatthours
2025-08-07 12:00:00,AZPS,Arizona Public Service Company,D,Demand,5554,megawatthours
2025-08-07 11:00:00,AZPS,Arizona Public Service Company,D,Demand,5603,megawatthours
2025-08-07 10:00:00,AZPS,Arizona Public Service Company,D,Demand,5688,megawatthours
2025-08-07 09:00:00,AZPS,Arizona Public Service Company,D,Demand,5886,megawatthours
2025-08-07 08:00:00,AZPS,Arizona Public Service Company,D,Demand,6210,megawatthours
2025-08-07 07:00:00,AZPS,Arizona Public Service Company,D,Demand,6668,megawatthours
2025-08-07 06:00:00,AZPS,Arizona Public Service Company,D,Demand,7182,megawatthours
2025-08-07 05:00:00,AZPS,Arizona Public Service Company,D,Demand,7256,megawatthours
2025-08-07 04:00:00,AZPS,Arizona Public Service Company,D,Demand,7694,megawatthours
2025-08-07 03:00:00,AZPS,Arizona Public Service Company,D,Demand,8044,megawatthours
2025-08-07 02:00:00,AZPS,Arizona Public Service Company,D,Demand,8033,megawatthours
2025-08-07 01:00:00,AZPS,Arizona Public Service Company,D,Demand,8219,megawatthours
2025-08-07 00:00:00,AZPS,Arizona Public Service Company,D,Demand,7941,megawatthours
2025-08-06 23:00:00,AZPS,Arizona Public Service Company,D,Demand,8018,megawatthours
2025-08-06 22:00:00,AZPS,Arizona Public Service Company,D,Demand,7761,megawatthours
2025-08-06 21:00:00,AZPS,Arizona Public Service Company,D,Demand,7454,megawatthours
2025-08-06 20:00:00,AZPS,Arizona Public Service Company,D,Demand,7081,megawatthours
2025-08-06 19:00:00,AZPS,Arizona Public Service Company,D,Demand,6785,megawatthours
2025-08-06 18:00:00,AZPS,Arizona Public Service Company,D,Demand,6374,megawatthours
2025-08-06 17:00:00,AZPS,Arizona Public Service Company,D,Demand,5961,megawatthours
2025-08-06 16:00:00,AZPS,Arizona Public Service Company,D,Demand,5608,megawatthours
2025-08-06 15:00:00,AZPS,Arizona Public Service Company,D,Demand,5470,megawatthours
2025-08-06 14:00:00,AZPS,Arizona Public Service Company,D,Demand,5392,megawatthours
2025-08-06 13:00:00,AZPS,Arizona Public Service Company,D,Demand,5482,megawatthours
2025-08-06 12:00:00,AZPS,Arizona Public Service Company,D,Demand,5446,megawatthours
2025-08-06 11:00:00,AZPS,Arizona Public Service Company,D,Demand,5483,megawatthours
2025-08-06 10:00:00,AZPS,Arizona Public Service Company,D,Demand,5587,megawatthours
2025-08-06 09:00:00,AZPS,Arizona Public Service Company,D,Demand,5786,megawatthours
2025-08-06 08:00:00,AZPS,Arizona Public Service Company,D,Demand,6155,megawatthours
2025-08-06 07:00:00,AZPS,Arizona Public Service Company,D,Demand,6558,megawatthours
2025-08-06 06:00:00,AZPS,Arizona Public Service Company,D,Demand,7153,megawatthours
2025-08-06 05:00:00,AZPS,Arizona Public Service Company,D,Demand,7160,megawatthours
2025-08-06 04:00:00,AZPS,Arizona Public Service Company,D,Demand,7531,megawatthours
2025-08-06 03:00:00,AZPS,Arizona Public Service Company,D,Demand,7748,megawatthours
2025-08-06 02:00:00,AZPS,Arizona Public Service Company,D,Demand,7716,megawatthours
2025-08-06 01:00:00,AZPS,Arizona Public Service Company,D,Demand,7969,megawatthours
