datetime,city,tmax_f,tmin_f,avg_temp_f
2025-05-31,phoenix,39.0,37.0,38.0
2025-06-01,phoenix,37.9,35.71,36.8
2025-06-02,phoenix,37.71,35.49,36.6
2025-06-03,phoenix,38.5,36.61,37.55
2025-06-04,phoenix,38.3,36.3,37.3
2025-06-05,phoenix,38.89,36.61,37.75
2025-06-06,phoenix,39.2,36.81,38.01
2025-06-07,phoenix,39.2,36.81,38.01
2025-06-08,phoenix,39.51,36.7,38.11
2025-06-09,phoenix,39.7,36.81,38.26
2025-06-10,phoenix,39.6,36.9,38.25
2025-06-11,phoenix,39.6,37.09,38.34
2025-06-12,phoenix,39.6,37.2,38.4
2025-06-13,phoenix,39.6,37.0,38.3
2025-06-14,phoenix,39.79,37.0,38.39
2025-06-15,phoenix,40.21,36.9,38.55
2025-06-16,phoenix,40.21,37.09,38.65
2025-06-17,phoenix,39.79,37.4,38.59
2025-06-18,phoenix,40.21,37.09,38.65
2025-06-19,phoenix,40.5,37.29,38.89
2025-06-20,phoenix,39.79,37.2,38.5
2025-06-21,phoenix,39.4,37.0,38.2
2025-06-22,phoenix,38.7,36.7,37.7
2025-06-23,phoenix,39.2,36.81,38.01
2025-06-24,phoenix,39.31,36.9,38.11
2025-06-25,phoenix,39.09,36.7,37.9
2025-06-26,phoenix,39.31,36.9,38.11
2025-06-27,phoenix,39.51,37.0,38.25
2025-06-28,phoenix,39.7,37.51,38.61
2025-06-29,phoenix,40.21,37.51,38.86
2025-06-30,phoenix,40.41,37.8,39.1
2025-07-01,phoenix,39.99,38.1,39.05
2025-07-02,phoenix,39.7,36.61,38.16
2025-07-03,phoenix,39.0,36.61,37.8
2025-07-04,phoenix,39.09,37.0,38.05
2025-07-05,phoenix,39.51,37.4,38.45
2025-07-06,phoenix,39.79,37.4,38.59
2025-07-07,phoenix,39.9,37.9,38.9
2025-07-08,phoenix,39.99,37.99,38.99
2025-07-09,phoenix,40.6,38.1,39.35
2025-07-10,phoenix,40.1,38.3,39.2
2025-07-11,phoenix,39.9,37.8,38.85
2025-07-12,phoenix,39.6,37.6,38.6
2025-07-13,phoenix,39.6,37.8,38.7
2025-07-14,phoenix,39.51,37.8,38.66
2025-07-15,phoenix,39.51,37.4,38.45
2025-07-16,phoenix,38.5,37.09,37.8
2025-07-17,phoenix,38.89,36.81,37.85
2025-07-18,phoenix,39.6,37.6,38.6
2025-07-19,phoenix,39.51,37.51,38.51
2025-07-20,phoenix,38.5,37.8,38.15
2025-07-21,phoenix,39.2,37.29,38.25
2025-07-22,phoenix,39.0,37.2,38.1
2025-07-23,phoenix,39.2,37.29,38.25
2025-07-24,phoenix,39.4,36.81,38.11
2025-07-25,phoenix,39.7,36.81,38.26
2025-07-26,phoenix,39.51,36.9,38.2
2025-07-27,phoenix,39.79,37.0,38.39
2025-07-28,phoenix,40.1,37.4,38.75
2025-07-29,phoenix,39.79,37.6,38.7
2025-07-30,phoenix,39.9,37.51,38.7
2025-07-31,phoenix,39.9,37.6,38.75
2025-08-01,phoenix,40.1,37.99,39.05
2025-08-02,phoenix,40.21,37.8,39.0
2025-08-03,phoenix,39.99,37.2,38.59
2025-08-04,phoenix,39.99,37.51,38.75
2025-08-05,phoenix,40.21,37.8,39.0
2025-08-06,phoenix,40.41,37.9,39.16
2025-08-07,phoenix,40.6,38.19,39.39
2025-08-08,phoenix,40.21,37.99,39.1
2025-08-09,phoenix,39.79,37.99,38.89
2025-08-10,phoenix,39.6,37.9,38.75
2025-08-11,phoenix,39.99,37.99,38.99
2025-08-12,phoenix,39.99,37.9,38.95
2025-08-13,phoenix,39.7,37.8,38.75
2025-08-14,phoenix,39.7,37.4,38.55
2025-08-15,phoenix,39.2,36.39,37.8
2025-08-16,phoenix,39.4,37.2,38.3
2025-08-17,phoenix,39.31,37.2,38.26
2025-08-18,phoenix,39.51,37.29,38.4
2025-08-19,phoenix,39.6,37.51,38.55
2025-08-20,phoenix,39.99,37.71,38.85
2025-08-21,phoenix,40.21,37.71,38.96
2025-08-22,phoenix,39.99,37.71,38.85
2025-08-23,phoenix,39.79,37.99,38.89
2025-08-24,phoenix,39.9,37.99,38.95
2025-08-25,phoenix,39.09,36.39,37.74
2025-08-26,phoenix,38.5,36.61,37.55
