datetime,respondent,respondent-name,type,type-name,energy_consumption_mw,value-units
2025-08-29 19:00:00,SCL,Seattle City Light,D,Demand,1141,megawatthours
2025-08-29 18:00:00,SCL,Seattle City Light,D,Demand,1116,megawatthours
2025-08-29 17:00:00,SCL,Seattle City Light,D,Demand,1084,megawatthours
2025-08-29 16:00:00,SCL,Seattle City Light,D,Demand,1023,megawatthours
2025-08-29 15:00:00,SCL,Seattle City Light,D,Demand,987,megawatthours
2025-08-29 14:00:00,SCL,Seattle City Light,D,Demand,911,megawatthours
2025-08-29 13:00:00,SCL,Seattle City Light,D,Demand,835,megawatthours
2025-08-29 12:00:00,SCL,Seattle City Light,D,Demand,791,megawatthours
2025-08-29 11:00:00,SCL,Seattle City Light,D,Demand,788,megawatthours
2025-08-29 10:00:00,SCL,Seattle City Light,D,Demand,797,megawatthours
2025-08-29 09:00:00,SCL,Seattle City Light,D,Demand,833,megawatthours
2025-08-29 08:00:00,SCL,Seattle City Light,D,Demand,880,megawatthours
2025-08-29 07:00:00,SCL,Seattle City Light,D,Demand,954,megawatthours
2025-08-29 06:00:00,SCL,Seattle City Light,D,Demand,1045,megawatthours
2025-08-29 05:00:00,SCL,Seattle City Light,D,Demand,1126,megawatthours
2025-08-29 04:00:00,SCL,Seattle City Light,D,Demand,1179,megawatthours
2025-08-29 03:00:00,SCL,Seattle City Light,D,Demand,1196,megawatthours
2025-08-29 02:00:00,SCL,Seattle City Light,D,Demand,1233,megawatthours
2025-08-29 01:00:00,SCL,Seattle City Light,D,Demand,1273,megawatthours
2025-08-29 00:00:00,SCL,Seattle City Light,D,Demand,1262,megawatthours
2025-08-28 23:00:00,SCL,Seattle City Light,D,Demand,1248,megawatthours
2025-08-28 22:00:00,SCL,Seattle City Light,D,Demand,1215,megawatthours
2025-08-28 21:00:00,SCL,Seattle City Light,D,Demand,1193,megawatthours
2025-08-28 20:00:00,SCL,Seattle City Light,D,Demand,1161,megawatthours
2025-08-28 19:00:00,SCL,Seattle City Light,D,Demand,1130,megawatthours
2025-08-28 18:00:00,SCL,Seattle City Light,D,Demand,1095,megawatthours
2025-08-28 17:00:00,SCL,Seattle City Light,D,Demand,1063,megawatthours
2025-08-28 16:00:00,SCL,Seattle City Light,D,Demand,1045,megawatthours
2025-08-28 15:00:00,SCL,Seattle City Light,D,Demand,989,megawatthours
2025-08-28 14:00:00,SCL,Seattle City Light,D,Demand,928,megawatthours
2025-08-28 13:00:00,SCL,Seattle City Light,D,Demand,844,megawatthours
2025-08-28 12:00:00,SCL,Seattle City Light,D,Demand,791,megawatthours
2025-08-28 11:00:00,SCL,Seattle City Light,D,Demand,779,megawatthours
2025-08-28 10:00:00,SCL,Seattle City Light,D,Demand,792,megawatthours
2025-08-28 09:00:00,SCL,Seattle City Light,D,Demand,817,megawatthours
2025-08-28 08:00:00,SCL,Seattle City Light,D,Demand,862,megawatthours
2025-08-28 07:00:00,SCL,Seattle City Light,D,Demand,917,megawatthours
2025-08-28 06:00:00,SCL,Seattle City Light,D,Demand,996,megawatthours
2025-08-28 05:00:00,SCL,Seattle City Light,D,Demand,1065,megawatthours
2025-08-28 04:00:00,SCL,Seattle City Light,D,Demand,1112,megawatthours
2025-08-28 03:00:00,SCL,Seattle City Light,D,Demand,1127,megawatthours
2025-08-28 02:00:00,SCL,Seattle City Light,D,Demand,1142,megawatthours
2025-08-28 01:00:00,SCL,Seattle City Light,D,Demand,1207,megawatthours
2025-08-28 00:00:00,SCL,Seattle City Light,D,Demand,1218,megawatthours
2025-08-27 23:00:00,SCL,Seattle City Light,D,Demand,1209,megawatthours
2025-08-27 22:00:00,SCL,Seattle City Light,D,Demand,1191,megawatthours
2025-08-27 21:00:00,SCL,Seattle City Light,D,Demand,1169,megawatthours
2025-08-27 20:00:00,SCL,Seattle City Light,D,Demand,1189,megawatthours
2025-08-27 19:00:00,SCL,Seattle City Light,D,Demand,1160,megawatthours
2025-08-27 18:00:00,SCL,Seattle City Light,D,Demand,1150,megawatthours
2025-08-27 17:00:00,SCL,Seattle City Light,D,Demand,1148,megawatthours
2025-08-27 16:00:00,SCL,Seattle City Light,D,Demand,1123,megawatthours
2025-08-27 15:00:00,SCL,Seattle City Light,D,Demand,1066,megawatthours
2025-08-27 14:00:00,SCL,Seattle City Light,D,Demand,1004,megawatthours
2025-08-27 13:00:00,SCL,Seattle City Light,D,Demand,924,megawatthours
2025-08-27 12:00:00,SCL,Seattle City Light,D,Demand,876,megawatthours
2025-08-27 11:00:00,SCL,Seattle City Light,D,Demand,873,megawatthours
2025-08-27 10:00:00,SCL,Seattle City Light,D,Demand,885,megawatthours
2025-08-27 09:00:00,SCL,Seattle City Light,D,Demand,930,megawatthours
2025-08-27 08:00:00,SCL,Seattle City Light,D,Demand,980,megawatthours
2025-08-27 07:00:00,SCL,Seattle City Light,D,Demand,1042,megawatthours
2025-08-27 06:00:00,SCL,Seattle City Light,D,Demand,1150,megawatthours
2025-08-27 05:00:00,SCL,Seattle City Light,D,Demand,1238,megawatthours
2025-08-27 04:00:00,SCL,Seattle City Light,D,Demand,1286,megawatthours
2025-08-27 03:00:00,SCL,Seattle City Light,D,Demand,1316,megawatthours
2025-08-27 02:00:00,SCL,Seattle City Light,D,Demand,1342,megawatthours
2025-08-27 01:00:00,SCL,Seattle City Light,D,Demand,1386,megawatthours
2025-08-27 00:00:00,SCL,Seattle City Light,D,Demand,1383,megawatthours
2025-08-26 23:00:00,SCL,Seattle City Light,D,Demand,1351,megawatthours
2025-08-26 22:00:00,SCL,Seattle City Light,D,Demand,1324,megawatthours
2025-08-26 21:00:00,SCL,Seattle City Light,D,Demand,1301,megawatthours
2025-08-26 20:00:00,SCL,Seattle City Light,D,Demand,1234,megawatthours
2025-08-26 19:00:00,SCL,Seattle City Light,D,Demand,1206,megawatthours
2025-08-26 18:00:00,SCL,Seattle City Light,D,Demand,1167,megawatthours
2025-08-26 17:00:00,SCL,Seattle City Light,D,Demand,1135,megawatthours
2025-08-26 16:00:00,SCL,Seattle City Light,D,Demand,1094,megawatthours
2025-08-26 15:00:00,SCL,Seattle City Light,D,Demand,1046,megawatthours
2025-08-26 14:00:00,SCL,Seattle City Light,D,Demand,1001,megawatthours
2025-08-26 13:00:00,SCL,Seattle City Light,D,Demand,938,megawatthours
2025-08-26 12:00:00,SCL,Seattle City Light,D,Demand,882,megawatthours
2025-08-26 11:00:00,SCL,Seattle City Light,D,Demand,873,megawatthours
2025-08-26 10:00:00,SCL,Seattle City Light,D,Demand,901,megawatthours
