datetime,city,tmax_f,tmin_f,avg_temp_f
2025-05-27,seattle,36.3,33.6,34.95
2025-05-28,seattle,36.9,34.2,35.55
2025-05-29,seattle,35.71,34.2,34.95
2025-05-30,seattle,36.5,33.8,35.15
2025-05-31,seattle,35.2,34.0,34.6
2025-06-01,seattle,35.49,33.49,34.49
2025-06-02,seattle,35.91,33.6,34.75
2025-06-03,seattle,36.19,33.91,35.05
2025-06-04,seattle,35.49,34.2,34.84
2025-06-05,seattle,36.5,33.91,35.2
2025-06-06,seattle,36.7,34.5,35.6
2025-06-07,seattle,36.9,34.3,35.6
2025-06-08,seattle,37.8,34.9,36.35
2025-06-09,seattle,37.51,34.9,36.2
2025-06-10,seattle,36.9,34.11,35.5
2025-06-11,seattle,35.71,33.91,34.81
2025-06-12,seattle,35.4,33.91,34.66
2025-06-13,seattle,35.2,33.8,34.5
2025-06-14,seattle,35.6,33.69,34.64
2025-06-15,seattle,35.91,34.0,34.95
2025-06-16,seattle,36.19,33.8,34.99
2025-06-17,seattle,36.1,33.8,34.95
2025-06-18,seattle,35.71,34.3,35.0
2025-06-19,seattle,35.71,33.8,34.75
2025-06-20,seattle,35.1,33.91,34.5
2025-06-21,seattle,34.59,33.8,34.2
2025-06-22,seattle,35.6,34.11,34.86
2025-06-23,seattle,36.5,34.11,35.3
2025-06-24,seattle,36.81,34.2,35.51
2025-06-25,seattle,35.91,34.2,35.05
2025-06-26,seattle,35.4,34.3,34.85
2025-06-27,seattle,35.71,34.3,35.0
2025-06-28,seattle,36.3,34.3,35.3
2025-06-29,seattle,36.81,34.3,35.55
2025-06-30,seattle,37.51,34.81,36.16
2025-07-01,seattle,37.51,34.59,36.05
2025-07-02,seattle,36.3,34.2,35.25
2025-07-03,seattle,35.71,34.11,34.91
2025-07-04,seattle,36.19,34.3,35.24
2025-07-05,seattle,36.3,34.11,35.2
2025-07-06,seattle,36.7,34.5,35.6
2025-07-07,seattle,37.29,34.59,35.94
2025-07-08,seattle,37.29,34.59,35.94
2025-07-09,seattle,36.0,34.7,35.35
2025-07-10,seattle,36.1,34.5,35.3
2025-07-11,seattle,37.2,34.7,35.95
2025-07-12,seattle,37.09,35.2,36.15
2025-07-13,seattle,37.8,35.2,36.5
2025-07-14,seattle,36.61,35.01,35.81
2025-07-15,seattle,37.6,34.39,36.0
2025-07-16,seattle,38.19,35.4,36.8
2025-07-17,seattle,37.4,34.39,35.89
2025-07-18,seattle,35.8,34.39,35.09
2025-07-19,seattle,35.8,34.3,35.05
2025-07-20,seattle,35.29,33.91,34.6
2025-07-21,seattle,36.5,34.2,35.35
2025-07-22,seattle,36.61,34.5,35.55
2025-07-23,seattle,37.09,34.5,35.8
2025-07-24,seattle,36.39,34.3,35.34
2025-07-25,seattle,35.91,34.3,35.1
2025-07-26,seattle,35.91,34.11,35.01
2025-07-27,seattle,36.39,34.3,35.34
2025-07-28,seattle,37.0,34.2,35.6
2025-07-29,seattle,37.29,34.5,35.89
2025-07-30,seattle,37.29,34.59,35.94
2025-07-31,seattle,36.81,34.81,35.81
2025-08-01,seattle,36.3,34.5,35.4
2025-08-02,seattle,36.1,34.59,35.34
2025-08-03,seattle,35.91,34.39,35.15
2025-08-04,seattle,35.91,34.59,35.25
2025-08-05,seattle,36.61,34.5,35.55
2025-08-06,seattle,36.0,34.81,35.41
2025-08-07,seattle,35.8,34.59,35.2
2025-08-08,seattle,36.5,34.2,35.35
2025-08-09,seattle,36.9,34.59,35.75
2025-08-10,seattle,37.6,34.9,36.25
2025-08-11,seattle,37.51,35.71,36.61
2025-08-12,seattle,37.99,35.2,36.59
2025-08-13,seattle,36.61,35.01,35.81
2025-08-14,seattle,36.3,34.59,35.45
2025-08-15,seattle,35.6,34.9,35.25
2025-08-16,seattle,36.19,34.7,35.45
2025-08-17,seattle,36.19,34.81,35.5
2025-08-18,seattle,36.3,34.59,35.45
2025-08-19,seattle,36.3,34.7,35.5
2025-08-20,seattle,36.3,34.81,35.55
2025-08-21,seattle,36.61,34.11,35.36
2025-08-22,seattle,37.71,34.5,36.11
